projectID,37,,,,,,,,,,,,,,,,
lakeID,AQ,,,,,,,,,,,,,,,,
siteName,wholeShoreline,,,,,,,,,,,,,,,,
dataTimeSet,6/17/2019 17:10,,,,,,,,,,,,,,,,
dateTimeSample,6/17/2019 20:04,,,,,,,,,,,,,,,,
crew,"JC, AT, DS",,,,,,,,,,,,,,,,
gear,AN ,,,,,,,,,,,,,,,,
distanceShocked,,,,,,,,,,,,,,,,,
effort,2.9,,,,,,,,,,,,,,,,
effortUnits,angler_hours,,,,,,,,,,,,,,,,
comments,,,,,,,,,,,,,,,,,
UseCPUE,yes,,,,,,,,,,,,,,,,
dataRecorder,JPC,,,,,,,,,,,,,,,,
dataEnteredBy,AS,,,,,,,,,,,,,,,,
metadataID,Fishscapes.Angling.20180625,,,,,,,,,,,,,,,,
useSampleMarkRecap,yes,,,,,,,,,,,,,,,,
sampleGroup,2019_fishscapes_survey,,,,,,,,,,,,,,,,
fishNum,species,fishLength,fishWeight,clipApply,clipRecapture,mortality,removed,spineSampled,scaleSampled,tagApply,tagRecapture,tagApplyType,tagRecaptureType,oldTag,caughtBy,comments,dietSampled
1,LMB,251,,AF,,,,1,1,,,,,,DS,,
2,LMB,275,,AF,,,,1,1,,,,,,JC,,
3,LMB,410,,,,,,1,1,,,,,,JC,,
4,LMB,244,,AF,,,,1,1,,,,,,DS,,
5,LMB,294,,AF,,,,1,1,,,,,,AT,,
6,LMB,406,,AF,,,,1,1,,,,,,AT,,
7,LMB,248,,AF,,,,1,1,,,,,,DS,,
8,LMB,311,,AF,,,,1,1,,,,,,DS,,
9,LMB,274,,AF,,,,1,1,,,,,,DS,,
10,LMB,264,,AF,,,,,,,,,,,AT,,
11,LMB,239,,AF,,,,1,1,,,,,,DS,,
12,LMB,270,,AF,,,,1,1,,,,,,DS,,
13,LMB,306,,AF,,,,1,1,,,,,,DS,,
14,LMB,246,,AF,,,,1,1,,,,,,DS,,
15,LMB,303,,AF,,,,1,1,,,,,,DS,,
16,LMB,313,,AF,,,,1,1,,,,,,JC,,
17,LMB,272,,AF,,,,1,1,,,,,,JC,,
18,LMB,412,,AF,,,,1,1,,,,,,AT,,
19,LMB,222,,AF,,,,1,1,,,,,,DS,,
20,LMB,416,,AF,,,,1,1,,,,,,AT,,
21,LMB,410,,AF,,,,1,1,,,,,,DS,,
22,LMB,354,,AF,,,,1,1,,,,,,DS,,
