lakeID,MI,,moeties,PML,Hypo,Outlet,Inlet1,Inlet2,Inlet3,point
site,DeepHole,,unfiltered,0,0,0,0,0,0,1
date,20200607,,filtered,0,0,0,0,0,0,1
time,1047,,chloro,0,0,0,0,0,0,2
projectID,35,,POC,0,0,0,0,0,0,1
weather,rainy and windy,,DOC,0,0,0,0,0,0,2
crew,BB and RN,,DNA,0,0,0,0,0,0,2
metadataID,Limno.Sample.20160505,,color,0,0,0,0,0,0,0
zoop tow depth,NA,,Volumes filtered,PML,Hypo,Outlet,Inlet1,Inlet2,Inlet3,point
comments,near bottom sampling,,chloro,0,0,0,0,0,0,450
,height,units,POC,0,0,0,0,0,0,120
lake_staffGauge,NA,ft,DNA,0,0,0,0,0,0,250
Inlet1_staffGauge,NA,cm,,,,,,,,
Inlet2_staffGauge,NA,cm,,,,,,,,
Inlet3_staffGauge,NA,cm,,,,,,,,
Outlet_staffGauge,NA,cm,,,,,,,,
depth,temp,DOmgL,Dosat,SpC,pH,ORP,PAR,PML,Hypo,point
0,19,6.5,67.9,14.3,5.19,,,NA,NA,NA
10,4.5,1.39,11.4,17.8,4.39,,,NA,NA,1
